Reporting Area,MMWR YEAR,MMWR WEEK,"All causes, by age (years), All Ages**","All causes, by age (years), All Ages**, flag","All causes, by age (years), >=65","All causes, by age (years), >=65, flag","All causes, by age (years), 45-64","All causes, by age (years), 45-64, flag","All causes, by age (years), 25-44","All causes, by age (years), 25-44, flag","All causes, by age (years), 1-24","All causes, by age (years), 1-24, flag","All causes, by age (years), LT 1","All causes, by age (years), LT 1, flag",P&I Total,"P&I Total, flag",Location 1,Location 2
"Hartford, CT",2016,13,73,,54,,12,,6,,,-,1,,12,,"Hartford, CT (41.765775, -72.673356)",
"Newark, NJ",2016,13,51,,28,,18,,4,,1,,,-,2,,"Newark, NJ (41.433057, -71.460182)",
"Richmond, VA",2016,13,63,,41,,18,,2,,,-,2,,2,,"Richmond, VA (37.540759, -77.433932)",
"San Jose, CA",2016,13,221,,171,,35,,6,,5,,4,,10,,"San Jose, CA (35.398134, -105.477067)",
"Peoria, IL",2016,13,52,,36,,13,,2,,,-,1,,3,,"Peoria, IL (32.283586, -90.10038)",
"Providence, RI",2016,13,79,,52,,21,,3,,2,,1,,3,,"Providence, RI (41.824461, -71.412747)",
"El Paso, TX",2016,13,127,,91,,24,,10,,1,,1,,,-,"El Paso, TX (31.76006, -106.492257)",
"Charlotte, NC",2016,13,151,,101,,41,,6,,3,,,-,19,,"Charlotte, NC (35.222936, -80.840161)",
"Long Beach, CA",2016,13,79,,51,,21,,6,,1,,,-,11,,"Long Beach, CA (33.767168, -118.193723)",
"Miami, FL",2016,13,63,,47,,12,,3,,1,,,-,2,,"Miami, FL (44.977479, -93.264346)",
"San Antonio, TX",2016,13,298,,202,,69,,15,,9,,3,,16,,"San Antonio, TX (29.425173, -98.494599)",
"Lansing, MI",2016,13,53,,36,,13,,2,,1,,1,,4,,"Lansing, MI (42.733625, -84.553927)",
"St. Louis, MO",2016,13,90,,48,,26,,7,,4,,5,,5,,"St. Louis, MO (38.630276, -90.200309)",
"Atlanta, GA",2016,13,164,,98,,47,,16,,3,,,-,5,,"Atlanta, GA (33.748547, -84.391502)",
"New Haven, CT",2016,13,47,,31,,13,,2,,,-,1,,8,,"New Haven, CT (42.856701, -78.741699)",
"Los Angeles, CA",2016,13,299,,194,,72,,15,,9,,9,,32,,"Los Angeles, CA (34.052238, -118.243344)",
"Lincoln, NC",2016,13,50,,41,,8,,1,,,-,,-,5,,"Lincoln, NC (40.813599, -96.70261)",
"Worcester, MA",2016,13,66,,49,,15,,2,,,-,,-,10,,"Worcester, MA (42.262073, -71.802278)",
"Grand Rapids, MI",2016,13,55,,36,,15,,2,,,-,2,,4,,"Grand Rapids, MI (47.925705, -97.036068)",
"Fresno, CA",2016,13,144,,106,,23,,10,,3,,2,,9,,"Fresno, CA (36.731654, -119.785856)",
"Las Vegas, NV",2016,13,356,,245,,80,,23,,7,,1,,32,,"Las Vegas, NV (36.169202, -115.140597)",
"Buffalo, NY",2016,13,80,,51,,21,,6,,1,,1,,5,,"Buffalo, NY (39.945422, -78.64671)",
"Lowell, MA",2016,13,29,,19,,5,,4,,1,,,-,1,,"Lowell, MA (40.672798, -76.279404)",
"Fall River, MA",2016,13,32,,22,,5,,4,,1,,,-,3,,"Fall River, MA (41.701025, -71.155389)",
"Colorado Springs, CO",2016,13,62,,43,,11,,3,,2,,3,,7,,"Colorado Springs, CO (38.835224, -104.819798)",
"Baltimore, MD",2016,13,104,,63,,28,,8,,3,,2,,10,,"Baltimore, MD (39.290443, -76.612333)",
"Fort Worth, TX",2016,13,,U,,U,,U,,U,,U,,U,,U,"Fort Worth, TX (32.739977, -97.340038)",
"Jersey City, NJ",2016,13,20,,13,,6,,1,,,-,,-,3,,"Jersey City, NJ (40.717495, -74.044111)",
"Honolulu, HI",2016,13,85,,64,,18,,2,,,-,1,,10,,"Honolulu, HI (21.30992, -157.858158)",
"Berkeley, CA",2016,13,,U,,U,,U,,U,,U,,U,,U,"Berkeley, CA (40.692529, -73.990996)",
"Lynn, MA",2016,13,11,,6,,2,,2,,1,,,-,,-,"Lynn, MA (20.841375, -156.933118)",
"Kansas City, KS",2016,13,24,,14,,10,,,-,,-,,-,2,,"Kansas City, KS (39.099792, -94.578559)",
"Washington, D.C.",2016,13,59,,34,,17,,6,,1,,1,,7,,"Washington, D.C. (38.892062, -77.019912)",
"St. Paul, MN",2016,13,59,,37,,16,,4,,2,,,-,6,,"St. Paul, MN (44.943719, -93.094281)",
"Columbus, OH",2016,13,206,,130,,45,,17,,5,,9,,8,,"Columbus, OH (39.920765, -82.80058)",
"Denver, CO",2016,13,41,,26,,8,,1,,2,,4,,,-,"Denver, CO (39.738453, -104.984853)",
"St. Petersburg, FL",2016,13,71,,54,,14,,2,,,-,1,,7,,"St. Petersburg, FL (27.772069, -82.638488)",
"Springfield, MA",2016,13,34,,22,,8,,2,,2,,,-,,-,"Springfield, MA (39.79936, -89.643624)",
"Philadelphia, PA",2016,13,,U,,U,,U,,U,,U,,U,,U,"Philadelphia, PA (39.951061, -75.16562)",
"Cincinnati, OH",2016,13,72,,39,,19,,9,,,-,5,,2,,"Cincinnati, OH (39.104427, -84.513808)",
"Norfolk, VA",2016,13,46,,33,,11,,,-,,-,2,,2,,"Norfolk, VA (36.846164, -76.285913)",
"Tulsa, OK",2016,13,142,,96,,28,,12,,3,,3,,13,,"Tulsa, OK (61.096484, -160.967455)",
"Evansville, IN",2016,13,70,,44,,21,,3,,2,,,-,6,,"Evansville, IN (37.975708, -87.569907)",
"Mobile, AL",2016,13,90,,57,,29,,4,,,-,,-,6,,"Mobile, AL (34.661541, -77.695461)",
"Rockford, IL",2016,13,52,,42,,7,,3,,,-,,-,3,,"Rockford, IL (42.266802, -89.088377)",
"Tucson, AZ",2016,13,177,,130,,30,,11,,3,,3,,11,,"Tucson, AZ (35.167852, -103.726151)",
"Boise, ID",2016,13,62,,51,,8,,2,,,-,1,,3,,"Boise, ID (43.597772, -83.884521)",
"Ogden, UT",2016,13,41,,33,,7,,1,,,-,,-,8,,"Ogden, UT (41.222761, -111.970419)",
"Allentown, PA",2016,13,47,,37,,7,,2,,1,,,-,2,,"Allentown, PA (40.602753, -75.469759)",
"Rochester, NY",2016,13,151,,111,,32,,6,,,-,2,,14,,"Rochester, NY (43.155708, -77.612547)",
"Paterson, NJ",2016,13,15,,12,,2,,1,,,-,,-,1,,"Paterson, NJ (40.916612, -74.172191)",
"Wichita, KS",2016,13,97,,68,,19,,6,,3,,1,,6,,"Wichita, KS (39.960481, -75.605214)",
"Baton Rouge, LA",2016,13,89,,59,,21,,7,,,-,2,,3,,"Baton Rouge, LA (30.443319, -91.187488)",
"Salt Lake City, UT",2016,13,148,,109,,28,,3,,5,,3,,14,,"Salt Lake City, UT (40.758478, -111.888142)",
"Akron, OH",2016,13,61,,40,,13,,7,,1,,,-,6,,"Akron, OH (41.084821, -81.515607)",
"Birmingham, AL",2016,13,147,,87,,39,,14,,3,,4,,16,,"Birmingham, AL (33.522859, -86.807705)",
"Toledo, OH",2016,13,119,,72,,35,,10,,1,,1,,6,,"Toledo, OH (41.655298, -83.535717)",
"Indianapolis, IN",2016,13,178,,111,,44,,14,,3,,6,,21,,"Indianapolis, IN (39.76845, -86.156212)",
"Santa Cruz, CA",2016,13,25,,22,,1,,2,,,-,,-,1,,"Santa Cruz, CA (32.71576, -117.163817)",
"South Bend, IN",2016,13,50,,37,,8,,2,,1,,2,,8,,"South Bend, IN (41.675032, -86.251962)",
"Utica, NY",2016,13,20,,15,,5,,,-,,-,,-,2,,"Utica, NY (39.800598, -104.997498)",
"Kansas City, MO",2016,13,110,,71,,31,,6,,2,,,-,7,,"Kansas City, MO (39.099792, -94.578559)",
"Fort Wayne, IN",2016,13,89,,57,,20,,9,,2,,1,,6,,"Fort Wayne, IN (41.331128, -73.987189)",
"Jacksonville, FL",2016,13,167,,96,,52,,16,,2,,1,,12,,"Jacksonville, FL (30.325968, -81.65676)",
"Glendale, CA",2016,13,37,,34,,3,,,-,,-,,-,4,,"Glendale, CA (34.148138, -118.246437)",
"Scranton, PA",2016,13,24,,18,,5,,1,,,-,,-,,-,"Scranton, PA (41.409113, -75.662346)",
"Bridgeport, CT",2016,13,53,,38,,11,,3,,,-,1,,3,,"Bridgeport, CT (41.179195, -73.189476)",
"Tampa, FL",2016,13,146,,89,,41,,15,,,-,1,,12,,"Tampa, FL (37.8606, -78.804199)",
"New York City, NY",2016,13,1088,,762,,232,,59,,22,,12,,54,,"New York City, NY (40.123164, -75.333718)",
"Houston, TX",2016,13,314,,184,,90,,29,,10,,1,,15,,"Houston, TX (29.760803, -95.369506)",
"Minneapolis, MN",2016,13,92,,45,,26,,13,,3,,5,,3,,"Minneapolis, MN (44.977479, -93.264346)",
"Shreveport, LA",2016,13,75,,59,,8,,6,,1,,1,,6,,"Shreveport, LA (32.51424, -93.747757)",
"Omaha, NE",2016,13,71,,52,,11,,6,,2,,,-,6,,"Omaha, NE (46.07035, -93.666319)",
"Lexington, KY",2016,13,112,,66,,29,,8,,4,,5,,,-,"Lexington, KY (34.052238, -118.243344)",
"Trenton, NJ",2016,13,20,,9,,9,,2,,,-,,-,,-,"Trenton, NJ (40.220572, -74.759709)",
"Chattanooga, TN",2016,13,119,,77,,29,,7,,4,,2,,10,,"Chattanooga, TN (35.045756, -85.308287)",
"Sacramento, CA",2016,13,239,,161,,60,,13,,3,,2,,23,,"Sacramento, CA (38.582087, -121.50012)",
"Albany, NY",2016,13,58,,36,,15,,3,,,-,3,,4,,"Albany, NY (42.651242, -73.755418)",
"Spokane, WA",2016,13,66,,51,,10,,3,,1,,1,,7,,"Spokane, WA (47.658999, -117.425022)",
"Elizabeth, NJ",2016,13,25,,16,,8,,,-,1,,,-,4,,"Elizabeth, NJ (40.661927, -74.211653)",
"Waterbury, CT",2016,13,35,,27,,6,,1,,,-,,-,4,,"Waterbury, CT (41.554261, -73.043069)",
"New Bedford, MA",2016,13,32,,25,,4,,2,,1,,,-,4,,"New Bedford, MA (41.63405, -70.92766)",
"Yonkers, NY",2016,13,16,,13,,2,,1,,,-,,-,1,,"Yonkers, NY (40.932014, -73.896052)",
"Albuquerque, NM",2016,13,128,,81,,33,,12,,1,,1,,13,,"Albuquerque, NM (35.084248, -106.649241)",
"Pueblo, CO",2016,13,27,,18,,7,,1,,,-,1,,4,,"Pueblo, CO (28.151559, -82.351822)",
"Pittsburgh, PA_",2016,13,,U,,U,,U,,U,,U,,U,,U,"Pittsburgh, PA (40.442169, -79.994945)",
"San Francisco, CA",2016,13,121,,94,,19,,7,,1,,,-,11,,"San Francisco, CA (37.78008, -122.420168)",
"Knoxville, TN",2016,13,142,,101,,31,,8,,1,,1,,9,,"Knoxville, TN (35.962631, -83.916677)",
"Nashville, TN",2016,13,170,,112,,41,,7,,5,,5,,9,,"Nashville, TN (36.166687, -86.779932)",
"Memphis, TN",2016,13,241,,153,,62,,15,,10,,1,,26,,"Memphis, TN (35.143378, -90.052136)",
"Chicago, IL",2016,13,320,,197,,81,,24,,11,,7,,24,,"Chicago, IL (41.775002, -87.696388)",
"Portland, OR",2016,13,125,,89,,25,,6,,2,,3,,2,,"Portland, OR (45.516018, -122.681425)",
"Wilmington, DE",2016,13,21,,14,,6,,1,,,-,,-,2,,"Wilmington, DE (39.744432, -75.5451)",
"Schenectady, NY",2016,13,25,,19,,4,,2,,,-,,-,4,,"Schenectady, NY (42.814219, -73.944103)",
"Dallas, TX",2016,13,236,,136,,75,,14,,7,,4,,16,,"Dallas, TX (37.691113, -122.472221)",
"Boston, MA",2016,13,165,,94,,47,,18,,4,,2,,21,,"Boston, MA (42.358894, -71.056742)",
"Erie, PA",2016,13,,U,,U,,U,,U,,U,,U,,U,"Erie, PA (34.1647, -114.300301)",
"Milwaukee, WI",2016,13,98,,61,,25,,8,,2,,2,,7,,"Milwaukee, WI (43.041072, -87.909421)",
"Cleveland, OH",2016,13,228,,163,,49,,12,,1,,3,,18,,"Cleveland, OH (41.505546, -81.6915)",
"Youngstown, OH",2016,13,70,,54,,8,,7,,1,,,-,4,,"Youngstown, OH (41.100083, -80.649387)",
"Austin, TX",2016,13,81,,54,,16,,7,,2,,2,,4,,"Austin, TX (30.264979, -97.746598)",
New England,2016,14,631,,449,,131,,37,,9,,5,,70,,,
Mid. Atlantic,2016,14,1996,,1438,,428,,97,,16,,17,,105,,,
E.N. Central,2016,14,2336,,1556,,562,,135,,53,,30,,182,,,
W.N. Central,2016,14,646,,419,,168,,39,,7,,13,,47,,,
S. Atlantic,2016,14,1212,,764,,320,,79,,28,,21,,89,,,
E.S. Central,2016,14,1016,,668,,242,,73,,18,,15,,93,,,
W.S. Central,2016,14,1169,,755,,274,,83,,35,,22,,70,,,
Mountain,2016,14,1289,,890,,268,,76,,32,,23,,106,,,
Pacific,2016,14,1906,,1359,,392,,106,,25,,24,,147,,,
Total_,2016,14,12201,,8298,,2785,,725,,223,,170,,909,,,
"Evansville, IN",2016,14,42,,28,,13,,1,,,-,,-,7,,"Evansville, IN (37.975708, -87.569907)",
"Akron, OH",2016,14,61,,34,,22,,3,,1,,1,,6,,"Akron, OH (41.084821, -81.515607)",
"Tucson, AZ",2016,14,173,,125,,34,,6,,4,,4,,9,,"Tucson, AZ (35.167852, -103.726151)",
"Detroit, MI",2016,14,125,,65,,42,,12,,6,,,-,8,,"Detroit, MI (42.332916, -83.047853)",
"Albuquerque, NM",2016,14,146,,103,,27,,8,,5,,3,,16,,"Albuquerque, NM (35.084248, -106.649241)",
"Glendale, CA",2016,14,34,,26,,7,,1,,,-,,-,1,,"Glendale, CA (34.148138, -118.246437)",
"San Antonio, TX",2016,14,265,,173,,64,,18,,6,,4,,13,,"San Antonio, TX (29.425173, -98.494599)",
"Youngstown, OH",2016,14,72,,57,,14,,1,,,-,,-,9,,"Youngstown, OH (41.100083, -80.649387)",
"Providence, RI",2016,14,52,,39,,12,,,-,,-,1,,4,,"Providence, RI (41.824461, -71.412747)",
"Fort Worth, TX",2016,14,,U,,U,,U,,U,,U,,U,,U,"Fort Worth, TX (32.739977, -97.340038)",
"Portland, OR",2016,14,137,,91,,28,,13,,2,,3,,5,,"Portland, OR (45.516018, -122.681425)",
"Austin, TX",2016,14,114,,81,,20,,7,,4,,2,,10,,"Austin, TX (30.264979, -97.746598)",
"Indianapolis, IN",2016,14,207,,114,,73,,11,,6,,3,,18,,"Indianapolis, IN (39.76845, -86.156212)",
"San Diego, CA",2016,14,171,,121,,32,,13,,2,,3,,10,,"San Diego, CA (32.71576, -117.163817)",
"Syracuse, NY",2016,14,63,,50,,10,,3,,,-,,-,6,,"Syracuse, NY (43.047945, -76.147448)",
"Shreveport, LA",2016,14,42,,29,,11,,1,,1,,,-,4,,"Shreveport, LA (32.51424, -93.747757)",
"Rochester, NY",2016,14,166,,128,,27,,9,,,-,2,,13,,"Rochester, NY (43.155708, -77.612547)",
"Pasadena, CA",2016,14,27,,24,,2,,1,,,-,,-,2,,"Pasadena, CA (34.14955, -118.141452)",
"Seattle, WA",2016,14,,-,,-,,-,,-,,-,,-,,-,"Seattle, WA (47.603229, -122.33028)",
"Tacoma, WA",2016,14,152,,107,,35,,6,,2,,2,,12,,"Tacoma, WA (32.221878, -110.971225)",
"El Paso, TX",2016,14,108,,73,,28,,5,,1,,1,,1,,"El Paso, TX (31.76006, -106.492257)",
"Worcester, MA",2016,14,84,,64,,18,,1,,1,,,-,17,,"Worcester, MA (42.262073, -71.802278)",
"Allentown, PA",2016,14,31,,22,,5,,4,,,-,,-,1,,"Allentown, PA (40.602753, -75.469759)",
"Norfolk, VA",2016,14,33,,19,,13,,1,,,-,,-,2,,"Norfolk, VA (36.846164, -76.285913)",
"Corpus Christi, TX",2016,14,44,,25,,11,,4,,4,,,-,2,,"Corpus Christi, TX (27.796416, -97.404131)",
"South Bend, IN",2016,14,35,,25,,7,,3,,,-,,-,8,,"South Bend, IN (41.675032, -86.251962)",
"New York City, NY",2016,14,1261,,920,,273,,52,,9,,7,,57,,"New York City, NY (40.123164, -75.333718)",
"Dallas, TX",2016,14,222,,142,,50,,16,,8,,6,,13,,"Dallas, TX (37.691113, -122.472221)",
"Denver, CO",2016,14,39,,26,,8,,5,,,-,,-,,-,"Denver, CO (39.738453, -104.984853)",
"Rockford, IL",2016,14,84,,62,,17,,3,,2,,,-,5,,"Rockford, IL (42.266802, -89.088377)",
"Charlotte, NC",2016,14,149,,100,,34,,6,,5,,4,,7,,"Charlotte, NC (35.222936, -80.840161)",
"Duluth, MN",2016,14,31,,22,,7,,1,,,-,1,,3,,"Duluth, MN (28.917512, -81.221278)",
"Savannah, GA",2016,14,63,,41,,15,,5,,1,,1,,7,,"Savannah, GA (40.115007, -111.654713)",
"Omaha, NE",2016,14,116,,85,,23,,6,,1,,1,,6,,"Omaha, NE (46.07035, -93.666319)",
"Trenton, NJ",2016,14,19,,11,,4,,4,,,-,,-,,-,"Trenton, NJ (40.220572, -74.759709)",
"San Francisco, CA",2016,14,149,,113,,28,,5,,3,,,-,8,,"San Francisco, CA (37.78008, -122.420168)",
"Cleveland, OH",2016,14,305,,213,,71,,12,,7,,2,,18,,"Cleveland, OH (41.505546, -81.6915)",
"Colorado Springs, CO",2016,14,44,,36,,5,,2,,1,,,-,4,,"Colorado Springs, CO (38.835224, -104.819798)",
"Baltimore, MD",2016,14,136,,73,,40,,16,,3,,4,,6,,"Baltimore, MD (39.290443, -76.612333)",
"Pueblo, CO",2016,14,15,,15,,,-,,-,,-,,-,5,,"Pueblo, CO (28.151559, -82.351822)",
"Tulsa, OK",2016,14,128,,91,,26,,9,,1,,1,,13,,"Tulsa, OK (61.096484, -160.967455)",
"Jersey City, NJ",2016,14,,U,,U,,U,,U,,U,,U,,U,"Jersey City, NJ (40.717495, -74.044111)",
"St. Louis, MO",2016,14,104,,56,,32,,12,,1,,3,,10,,"St. Louis, MO (38.630276, -90.200309)",
"Waterbury, CT",2016,14,33,,23,,6,,2,,1,,1,,4,,"Waterbury, CT (41.554261, -73.043069)",
"Montgomery, AL",2016,14,70,,48,,15,,7,,,-,,-,8,,"Montgomery, AL (32.376547, -86.299651)",
"Gary, IN",2016,14,14,,11,,2,,,-,1,,,-,,-,"Gary, IN (42.375508, -87.924192)",
"Canton, OH",2016,14,48,,35,,11,,2,,,-,,-,6,,"Canton, OH (39.945208, -75.118833)",
"Chattanooga, TN",2016,14,84,,62,,18,,3,,,-,1,,6,,"Chattanooga, TN (35.045756, -85.308287)",
"Pittsburgh, PA_",2016,14,,U,,U,,U,,U,,U,,U,,U,"Pittsburgh, PA (40.442169, -79.994945)",
"Scranton, PA",2016,14,38,,32,,4,,1,,1,,,-,3,,"Scranton, PA (41.409113, -75.662346)",
"Santa Cruz, CA",2016,14,39,,31,,6,,1,,,-,1,,2,,"Santa Cruz, CA (32.71576, -117.163817)",
"Boston, MA",2016,14,163,,103,,39,,14,,5,,2,,19,,"Boston, MA (42.358894, -71.056742)",
"Salt Lake City, UT",2016,14,170,,112,,31,,15,,6,,6,,15,,"Salt Lake City, UT (40.758478, -111.888142)",
"Lansing, MI",2016,14,61,,43,,13,,2,,3,,,-,8,,"Lansing, MI (42.733625, -84.553927)",
"Los Angeles, CA",2016,14,297,,190,,68,,30,,5,,4,,33,,"Los Angeles, CA (34.052238, -118.243344)",
"Cincinnati, OH",2016,14,75,,49,,17,,3,,3,,3,,4,,"Cincinnati, OH (39.104427, -84.513808)",
"Tampa, FL",2016,14,130,,82,,33,,11,,1,,3,,12,,"Tampa, FL (37.8606, -78.804199)",
"Elizabeth, NJ",2016,14,12,,9,,2,,1,,,-,,-,,-,"Elizabeth, NJ (40.661927, -74.211653)",
"Newark, NJ",2016,14,54,,38,,12,,2,,1,,1,,3,,"Newark, NJ (41.433057, -71.460182)",
"Kansas City, MO",2016,14,65,,36,,24,,4,,,-,1,,3,,"Kansas City, MO (39.099792, -94.578559)",
"Wichita, KS",2016,14,103,,69,,22,,7,,3,,2,,9,,"Wichita, KS (39.960481, -75.605214)",
"Grand Rapids, MI",2016,14,76,,54,,12,,1,,4,,5,,7,,"Grand Rapids, MI (47.925705, -97.036068)",
"Phoenix, AZ",2016,14,198,,123,,47,,15,,5,,8,,13,,"Phoenix, AZ (30.406931, -87.217578)",
"Dayton, OH",2016,14,154,,107,,35,,11,,,-,1,,14,,"Dayton, OH (39.760982, -84.192203)",
"Buffalo, NY",2016,14,92,,54,,30,,7,,,-,1,,9,,"Buffalo, NY (39.945422, -78.64671)",
"Cambridge, MA",2016,14,22,,19,,1,,2,,,-,,-,1,,"Cambridge, MA (42.365248, -71.105015)",
"Berkeley, CA",2016,14,10,,6,,4,,,-,,-,,-,,-,"Berkeley, CA (40.692529, -73.990996)",
"Bridgeport, CT",2016,14,28,,24,,2,,2,,,-,,-,1,,"Bridgeport, CT (41.179195, -73.189476)",
"Chicago, IL",2016,14,282,,185,,66,,21,,9,,1,,21,,"Chicago, IL (41.775002, -87.696388)",
"Minneapolis, MN",2016,14,83,,52,,23,,3,,1,,4,,10,,"Minneapolis, MN (44.977479, -93.264346)",
"Wilmington, DE",2016,14,12,,10,,1,,1,,,-,,-,,-,"Wilmington, DE (39.744432, -75.5451)",
"Reading, PA",2016,14,42,,31,,10,,,-,,-,1,,2,,"Reading, PA (40.336919, -75.921965)",
"Peoria, IL",2016,14,70,,47,,14,,7,,,-,2,,9,,"Peoria, IL (32.283586, -90.10038)",
"Richmond, VA",2016,14,65,,34,,24,,6,,1,,,-,6,,"Richmond, VA (37.540759, -77.433932)",
"Yonkers, NY",2016,14,27,,20,,6,,,-,1,,,-,1,,"Yonkers, NY (40.932014, -73.896052)",
"Knoxville, TN",2016,14,132,,88,,37,,5,,1,,1,,10,,"Knoxville, TN (35.962631, -83.916677)",
"Nashville, TN",2016,14,153,,94,,36,,18,,2,,3,,10,,"Nashville, TN (36.166687, -86.779932)",
"Des Moines, IA",2016,14,,-,,-,,-,,-,,-,,-,,-,"Des Moines, IA (41.588822, -93.620309)",
"Lexington, KY",2016,14,90,,64,,13,,10,,1,,2,,1,,"Lexington, KY (34.052238, -118.243344)",
"Lynn, MA",2016,14,7,,1,,4,,2,,,-,,-,,-,"Lynn, MA (20.841375, -156.933118)",
"Toledo, OH",2016,14,103,,71,,24,,4,,4,,,-,4,,"Toledo, OH (41.655298, -83.535717)",
"Baton Rouge, LA",2016,14,87,,62,,20,,3,,,-,2,,4,,"Baton Rouge, LA (30.443319, -91.187488)",
"Spokane, WA",2016,14,75,,55,,13,,3,,1,,3,,8,,"Spokane, WA (47.658999, -117.425022)",
"Las Vegas, NV",2016,14,385,,258,,96,,22,,8,,1,,37,,"Las Vegas, NV (36.169202, -115.140597)",
"Ogden, UT",2016,14,32,,25,,4,,2,,1,,,-,3,,"Ogden, UT (41.222761, -111.970419)",
"St. Paul, MN",2016,14,71,,50,,18,,3,,,-,,-,2,,"St. Paul, MN (44.943719, -93.094281)",
"New Bedford, MA",2016,14,32,,28,,4,,,-,,-,,-,3,,"New Bedford, MA (41.63405, -70.92766)",
"Springfield, MA",2016,14,35,,26,,6,,3,,,-,,-,,-,"Springfield, MA (39.79936, -89.643624)",
"Sacramento, CA",2016,14,245,,169,,62,,9,,2,,3,,19,,"Sacramento, CA (38.582087, -121.50012)",
"Memphis, TN",2016,14,201,,126,,52,,14,,6,,3,,29,,"Memphis, TN (35.143378, -90.052136)",
"Houston, TX",2016,14,,U,,U,,U,,U,,U,,U,,U,"Houston, TX (29.760803, -95.369506)",
"Atlanta, GA",2016,14,135,,81,,44,,5,,4,,1,,7,,"Atlanta, GA (33.748547, -84.391502)",
"Milwaukee, WI",2016,14,137,,91,,27,,14,,4,,1,,7,,"Milwaukee, WI (43.041072, -87.909421)",
"Kansas City, KS",2016,14,27,,16,,7,,2,,1,,1,,3,,"Kansas City, KS (39.099792, -94.578559)",
"Mobile, AL",2016,14,86,,58,,18,,6,,2,,2,,6,,"Mobile, AL (34.661541, -77.695461)",
"Albany, NY",2016,14,59,,39,,12,,4,,1,,3,,7,,"Albany, NY (42.651242, -73.755418)",
"Lincoln, NC",2016,14,46,,33,,12,,1,,,-,,-,1,,"Lincoln, NC (40.813599, -96.70261)",
"San Jose, CA",2016,14,229,,180,,37,,7,,3,,2,,11,,"San Jose, CA (35.398134, -105.477067)",
"Lowell, MA",2016,14,27,,20,,3,,4,,,-,,-,3,,"Lowell, MA (40.672798, -76.279404)",
"Hartford, CT",2016,14,74,,57,,13,,3,,,-,1,,10,,"Hartford, CT (41.765775, -72.673356)",
"New Haven, CT",2016,14,49,,27,,18,,2,,2,,,-,7,,"New Haven, CT (42.856701, -78.741699)",
"Washington, D.C.",2016,14,168,,94,,55,,5,,7,,7,,15,,"Washington, D.C. (38.892062, -77.019912)",
"Columbus, OH",2016,14,279,,193,,57,,17,,2,,10,,18,,"Columbus, OH (39.920765, -82.80058)",
"Schenectady, NY",2016,14,16,,12,,3,,1,,,-,,-,,-,"Schenectady, NY (42.814219, -73.944103)",
"Paterson, NJ",2016,14,22,,13,,4,,1,,2,,2,,,-,"Paterson, NJ (40.916612, -74.172191)",
"Miami, FL",2016,14,76,,59,,9,,7,,1,,,-,3,,"Miami, FL (44.977479, -93.264346)",
"Boise, ID",2016,14,87,,67,,16,,1,,2,,1,,4,,"Boise, ID (43.597772, -83.884521)",
"New Orleans, LA",2016,14,82,,40,,27,,10,,3,,2,,2,,"New Orleans, LA (29.950621, -90.074948)",
"Utica, NY",2016,14,19,,12,,4,,3,,,-,,-,,-,"Utica, NY (39.800598, -104.997498)",
"Birmingham, AL",2016,14,200,,128,,53,,10,,6,,3,,23,,"Birmingham, AL (33.522859, -86.807705)",
"Philadelphia, PA",2016,14,,U,,U,,U,,U,,U,,U,,U,"Philadelphia, PA (39.951061, -75.16562)",
"Somerville, MA",2016,14,5,,3,,,-,2,,,-,,-,,-,"Somerville, MA (42.389121, -71.097145)",
"Little Rock, AR",2016,14,77,,39,,17,,10,,7,,4,,8,,"Little Rock, AR (34.748745, -92.275105)",
"Erie, PA",2016,14,46,,32,,12,,1,,1,,,-,3,,"Erie, PA (34.1647, -114.300301)",
"Long Beach, CA",2016,14,78,,50,,22,,6,,,-,,-,11,,"Long Beach, CA (33.767168, -118.193723)",
"Fall River, MA",2016,14,20,,15,,5,,,-,,-,,-,1,,"Fall River, MA (41.701025, -71.155389)",
"St. Petersburg, FL",2016,14,68,,52,,10,,3,,3,,,-,1,,"St. Petersburg, FL (27.772069, -82.638488)",
"Jacksonville, FL",2016,14,177,,119,,42,,13,,2,,1,,23,,"Jacksonville, FL (30.325968, -81.65676)",
"Honolulu, HI",2016,14,99,,70,,23,,3,,2,,1,,12,,"Honolulu, HI (21.30992, -157.858158)",
"Fort Wayne, IN",2016,14,106,,72,,25,,7,,1,,1,,5,,"Fort Wayne, IN (41.331128, -73.987189)",
"Fresno, CA",2016,14,164,,126,,25,,8,,3,,2,,13,,"Fresno, CA (36.731654, -119.785856)",
"Camden, NJ",2016,14,29,,15,,10,,4,,,-,,-,,-,"Camden, NJ (39.945208, -75.118833)",
New England,2016,15,580,,394,,143,,33,,7,,2,,52,,,
Mid. Atlantic,2016,15,1575,,1133,,334,,77,,22,,9,,101,,,
E.N. Central,2016,15,2214,,1468,,498,,156,,55,,37,,155,,,
W.N. Central,2016,15,635,,417,,135,,45,,21,,17,,50,,,
S. Atlantic,2016,15,1176,,786,,279,,74,,22,,15,,105,,,
E.S. Central,2016,15,1024,,649,,260,,81,,19,,15,,84,,,
W.S. Central,2016,15,1818,,1164,,447,,132,,40,,35,,121,,,
Mountain,2016,15,976,,662,,214,,64,,24,,12,,85,,,
Pacific,2016,15,1772,,1243,,356,,110,,37,,25,,148,,,
Total_,2016,15,11770,,7916,,2666,,772,,247,,167,,901,,,
